tmin	tier	text	tmax
4.509497	IU/tone	2155	5.742173
4.509497	EU/tone	5155	5.742173
4.509497	word	老師	5.742173
17.523613	EU/tone	5155	19.394128
17.523613	IU/tone	2155	19.394128
17.523613	word	老*師	19.394128
25.184943	word	海洋?	26.489286
25.184943	IU/tone	2135	26.489286
25.184943	EU/tone	2135	26.489286
56.586235	word	?	58.535584
62.123764	word	?	63.944112
67.746904	word	?	68.456410
74.316441	EU/tone	5551	75.377116
74.316441	IU/tone	2155	75.377116
74.316441	word	老*師	75.377116
78.693606	word	?	79.180943
89.787953	word	我	90.031417
89.787953	IU/tone	21	90.031417
89.787953	EU/tone	55	90.031417
90.031417	word	簽名	90.429474
90.031417	EU/tone	5551	90.429474
90.031417	IU/tone	5535	90.429474
90.429474	word	了	90.712460
93.262605	word	?	93.918662
99.194988	IU/tone	512135	100.042701
99.194988	word	閉起來	100.042701
99.194988	EU/tone	512135?	100.042701
108.620887	word	?	109.247457
109.728476	word	?	110.723617
112.719635	EU/tone	2135	113.301978
112.719635	word	小孩?	113.301978
112.719635	IU/tone	2135	113.301978
122.400853	word	?	122.983195
124.339536	word	?	124.980850
133.331582	word	?	133.670667
143.543501	IU/tone	51	144.007901
143.543501	EU/tone	51	144.007901
143.543501	word	爸爸	144.007901
145.866948	EU/tone	5151	146.714661
145.866948	word	謝你?	146.714661
145.866948	IU/tone	5121	146.714661
153.046179	word	?	153.827550
163.810522	IU/tone	55	164.106108
163.810522	EU/tone	55	164.106108
163.810522	word	簽?	164.106108
164.106108	IU/tone	35	164.307797
164.106108	EU/tone	35	164.307797
164.106108	word	一個?	164.307797
164.307797	word	?	165.354539
170.191520	word	?	172.081607
187.386063	word	老師	188.114620
187.386063	IU/tone	2155	188.114620
187.386063	EU/tone	3555	188.114620
188.404453	word	老師	188.891546
188.404453	IU/tone	3555	188.891546
188.404453	EU/tone	3555	188.891546
188.891546	word	?	190.252908
196.054721	word	爸爸有簽?	198.019745
206.871875	word	?	208.795267
234.778665	EU/tone	5121	235.640445
234.778665	IU/tone	3521	235.640445
234.778665	word	沒有	235.640445
250.640021	EU/tone	5535	251.622533
250.640021	IU/tone	5535	251.622533
250.640021	word	三十	251.622533
253.961586	IU/tone	5535	255.185563
253.961586	word	三十	255.185563
253.961586	EU/tone	5535	255.185563
282.317175	word	?	283.308013
284.136487	word	閉起來	284.919166
284.136487	EU/tone	512135	284.919166
284.136487	IU/tone	512135	284.919166
286.785104	IU/tone	512155	287.705168
286.785104	word	 看老師	287.705168
286.785104	EU/tone	512155	287.705168
288.556679	word	閉起來	289.201973
288.556679	EU/tone	512135	289.201973
288.556679	IU/tone	512135	289.201973
310.231323	EU/tone	3521	311.175456
310.231323	word	你好	311.175456
310.231323	IU/tone	3521	311.175456
311.175456	EU/tone	21	311.670875
311.175456	IU/tone	21	311.670875
311.175456	word	我	311.670875
316.984308	word	?	317.762824
321.167047	word	我	321.866463
321.167047	IU/tone	21	321.866463
321.167047	EU/tone	21	321.866463
321.866463	word	叫	322.324413
321.866463	IU/tone	51	322.324413
321.866463	EU/tone	51	322.324413
329.318638	EU/tone	21	329.834873
329.318638	word	我	329.834873
329.318638	IU/tone	21	329.834873
337.380834	EU/tone	21	338.367510
337.380834	word	我	338.367510
337.380834	IU/tone	21	338.367510
339.437448	IU/tone	51	340.003642
339.437448	EU/tone	51	340.003642
339.437448	word	歲	340.003642
345.356059	word	對?	346.197023
345.356059	EU/tone	51	346.197023
345.356059	IU/tone	51	346.197023
351.198928	EU/tone	3555?	352.056544
351.198928	IU/tone	2155	352.056544
351.198928	word	老師	352.056544
352.855876	word	老師	353.713493
352.855876	EU/tone	3555?	353.713493
352.855876	IU/tone	2155	353.713493
354.548930	IU/tone	21	354.890311
354.548930	EU/tone	21	354.890311
354.548930	word	我	354.890311
354.890311	EU/tone	51	355.181734
354.890311	IU/tone	51	355.181734
354.890311	word	要	355.181734
355.181734	word	上	355.589726
355.181734	EU/tone	51	355.589726
355.181734	IU/tone	51	355.589726
355.589726	EU/tone	3521	356.297468
355.589726	word	游泳?	356.297468
355.589726	IU/tone	3521	356.297468
356.297468	EU/tone	21	356.603121
356.297468	word	我	356.603121
356.297468	IU/tone	21	356.603121
356.603121	word	要	357.061072
356.603121	IU/tone	51	357.061072
356.603121	EU/tone	51	357.061072
357.240089	word	?	358.505697
361.930260	EU/tone	21	362.259151
361.930260	word	我	362.259151
361.930260	IU/tone	21	362.259151
362.259151	EU/tone	21	362.650491
362.259151	word	我	362.650491
