tmin	tier	text	tmax
544.581624	word	中午	546.010183
544.581624	EU/tone	5521	546.010183
544.581624	IU/tone	5521	546.010183
547.586215	IU/tone	5521	549.136835
547.586215	word	中午	549.136835
547.586215	EU/tone	5521	549.136835
550.771637	word	中午	552.123344
550.771637	IU/tone	5521	552.123344
550.771637	EU/tone	5521	552.123344
557.175768	IU/tone	5521	558.518433
557.175768	word	中午	558.518433
557.175768	EU/tone	5521	558.518433
558.518433	word	吃飯	559.752600
558.518433	IU/tone	5551	559.752600
558.518433	EU/tone	5551	559.752600
561.931293	EU/tone	5521	563.115732
561.931293	IU/tone	5521	563.115732
561.931293	word	中午	563.115732
563.115732	EU/tone	5551	564.010842
563.115732	IU/tone	5551	564.010842
563.115732	word	吃*飯	564.010842
568.072059	IU/tone	2151	569.188686
568.072059	word	早上*	569.188686
568.072059	EU/tone	2151	569.188686
569.188686	EU/tone	21	569.916528
569.188686	IU/tone	21	569.916528
569.188686	word	有	569.916528
569.916528	word	太陽	571.245631
569.916528	EU/tone	5535	571.245631
569.916528	IU/tone	5135	571.245631
573.665822	IU/tone	5521	574.637785
573.665822	EU/tone	5521	574.637785
573.665822	word	中午*	574.637785
574.637785	EU/tone	5551	575.777016
574.637785	word	吃飯	575.777016
574.637785	IU/tone	5551	575.777016
578.008068	IU/tone	5521	578.975510
578.008068	word	中午	578.975510
578.008068	EU/tone	5521	578.975510
578.975510	EU/tone	5551	580.028847
578.975510	IU/tone	5551	580.028847
578.975510	word	吃飯	580.028847
592.888798	EU/tone	5121	594.317357
592.888798	IU/tone	5121	594.317357
592.888798	word	下午	594.317357
595.565757	word	下午	596.940067
595.565757	IU/tone	5121	596.940067
595.565757	EU/tone	5521	596.940067
598.152300	EU/tone	5521	599.277969
598.152300	word	下午	599.277969
598.152300	IU/tone	5121	599.277969
601.276080	IU/tone	5121	602.040088
601.276080	EU/tone	3521	602.040088
601.276080	word	下午	602.040088
607.333098	word	下午	608.870156
607.333098	EU/tone	5521	608.870156
607.333098	IU/tone	5121	608.870156
608.870156	EU/tone	21	609.430730
608.870156	word	有	609.430730
608.870156	IU/tone	21	609.430730
616.682629	EU/tone	5521	618.083326
616.682629	word	下午	618.083326
616.682629	IU/tone	5121	618.083326
618.083326	IU/tone	21	618.766698
618.083326	EU/tone	21	618.766698
618.083326	word	有	618.766698
624.044917	IU/tone	5121	624.817967
624.044917	EU/tone	5121	624.817967
624.044917	word	下午	624.817967
624.817967	IU/tone	21	625.120858
624.817967	EU/tone	21	625.120858
624.817967	word	有	625.120858
625.120858	word	中文	626.336942
625.120858	EU/tone	5535	626.336942
625.120858	IU/tone	5535	626.336942
626.336942	word	課	626.689561
626.336942	EU/tone	51	626.689561
626.336942	IU/tone	51	626.689561
627.158007	word	下午	628.306280
627.158007	EU/tone	5521	628.306280
627.158007	IU/tone	5121	628.306280
628.306280	IU/tone	21	628.848771
628.306280	EU/tone	21	628.848771
628.306280	word	有	628.848771
628.848771	EU/tone	5521	630.019647
628.848771	IU/tone	5535	630.019647
628.848771	word	中文	630.019647
630.019647	EU/tone	51	630.584742
630.019647	IU/tone	51	630.584742
630.019647	word	課	630.584742
633.901684	word	早上	635.230787
633.901684	IU/tone	2151	635.230787
633.901684	EU/tone	2151	635.230787
635.230787	IU/tone	21	635.773278
635.230787	EU/tone	21	635.773278
635.230787	word	有	635.773278
635.773278	word	太陽	637.215400
635.773278	EU/tone	5135	637.215400
635.773278	IU/tone	5135	637.215400
